Items,JSON,JSONB,JSONB No Structs,JSONB64,JSONB64 No Structs
144,15253,8902,9509,11873,12681
145,15352,8958,9569,11945,12761
146,15456,9019,9634,12029,12849
147,15574,9094,9713,12129,12953
148,15684,9161,9784,12217,13049
149,15796,9230,9857,12309,13145
150,15894,9285,9916,12381,13225
151,15996,9344,9979,12461,13309
152,16100,9405,10044,12541,13393
153,16207,9469,10112,12629,13485
154,16317,9536,10183,12717,13581
155,16410,9586,10237,12785,13653
156,16513,9646,10301,12865,13737
157,16618,9708,10367,12945,13825
158,16721,9768,10431,13025,13909
159,16822,9826,10493,13105,13993
160,16917,9877,10548,13173,14065
161,17031,9948,10623,13265,14165
